title,price,second_title
RICARDO JAÉN,"USD 1,260",Las Tres Gracias
RICARDO JAÉN,,Living Room (Still Life)
HANS WOLF-GUZMAN,,Was Gehtz Berlin?
HANS WOLF-GUZMAN,,Graphic Alliteration
GRACE DALE,USD 630,Baring Witness
ANDREA LUPER,USD 630,Eternal Return
ANDREA LUPER,"USD 1,638",Hang
BLUSTERONE,,Make 'Em Clap to This
JOE EGAN,,Sian Ka'an Spirit
MICHAEL WALSH,,Adjacent
MICHAEL WALSH,,Hex Omega
C.C. CASTRO,USD 252,Canvas of a Military Modeler
JOE BARNES,USD 126,Faded Plaid
JOE BARNES,USD 126,Arizona Skies
NEIL CONSTANTINE,,Redrum
NEIL CONSTANTINE,"USD 4,410",Lost Yet Calm
ERIC MAVKO,USD 504,2XANNA
ABIGAIL LIEBHART,,Untitled
ERIC MAVKO,"USD 7,560",Cat#1
SAMANTHA MISHIC,USD 378,Aura (Blue)
SAMANTHA MISHIC,USD 630,Auras
CLAIRE BURKETT,USD 756,I Always Fall In Love With An Open Door
MATTHEW SHOUP,,"Oh Fuck, Am I Next?"
STEPHANIE BALBUENA,USD 630,NYC Street Dog People Series
PAUL BIRBIL,,Judgement of a Faun
PAUL BIRBIL,,Saturnalia
DAVID KENAN,,The night before
DAVID KENAN,,The morning after
ANNIKA STEIRO,USD 378,Where Dreams Are Made Of
ANNIKA STEIRO,USD 252,Concrete Jungle
BURCU EROGLU,USD 378,vase of flowers
ALEXIS VONDRAN,,Untitled #2
ALEXIS VONDRAN,USD 756,Untitled #3
STEPHANIE BALBUENA,USD 378,Antojos.
CHIHIRO ITO,USD 378,Rainbow Line on the Upside down Broccolis
ANDREA CRIVELLO,USD 126,Illuminate
VLAD GOLANOV,USD 504,Potok
JUSTIN BROOKS,"USD 1,008",Spirits
GENNARO CAPASSO,,Golden Divine
GENNARO CAPASSO,,Serenity
JORGE FARFÁN,"USD 2,520",Apprentice No More
JORGE FARFÁN,,"Origin of Weapon X ""Marvel Comics Spec Piece for Don Daley, Editor 1992"""
SERENA XU NING,,Renaissance Battle
SERENA XU NING,"USD 1,134",Barmaid
MAGGIE MORAN,"USD 4,410",Manspreading
MAGGIE MORAN,,Bottomless Brunch at Emmaus
BURCU EROGLU,USD 126,Red String of Fate
KELSEY HEFFERNAN,USD 252,Hand Study No. 1
KELSEY HEFFERNAN,,Hand Study No. 2
EVONNA GAINES,USD 126,Gazing
MATTHEW SHOUP,,Transitions/Tempo
SHAWN C. SMITH,,Subway Memorial
MADELEINE LILL,USD 882,Neo-Surrealist Pastiche Dreamscape
TOBY BASCO,USD 126,She's Bored
JUSTIN BROOKS,"USD 1,008",Pieces of the Hole
BRENDEN MASTACHE,,May Twenty-One
BRENDEN MASTACHE,,BRENDEN MASTACHE
SHAWN C. SMITH,USD 252,Untitled (piss cig)
TOBY BASCO,"USD 2,268",Banking on Humanity
VIVEK SEBASTIAN,,Doomsayer and his Portents
DAN BINA,"USD 1,260","We Deliver: Numbers 3, 4, 5"
DAN BINA,"USD 2,772","Me: Bad Things, Meme Series"
NICK BYRON,,Neoclassical Abstract
NICK BYRON,,Celtic Shamrock
TINA-MARIE POULIN,"USD 1,260",Seashells and Friends
ANGELA WEI,"USD 3,276",Ascension
ANGELA WEI,"USD 1,890",Where the Wild Things Are
BOBBY HAAG,"USD 5,670",painting
JIMIN KIM,USD 630,Pear-studded Trio
JIMIN KIM,USD 756,'C' for Christie's
MAHO KINO,,The Origins - Five Heidis
MAHO KINO,,Diamond Cake
YVETTE WALKER,,Untitled
YVETTE WALKER,,Patriotic
MICHAEL CHIRIANI,USD 378,Untitled
PETER HARTEL,USD 504,Day Dream Dog Dragon
NATHANIEL GOLDBLUM,USD 126,Untitled (Man Smoking)
TAI LIN,USD 630,Model D
TAI LIN,,St. Jerome having lunch special
CHARLES TOLKIEN-GILLETT,USD 252,"Autograph Music Manuscript Signed, Theme from Rhapsody for Clarinet Trio (2023)"
JOE NANASHE,"USD 1,008",Space Between
LEAH ROSENFELD,"USD 1,260",Untitled (catboat)
PAMELA PERLOWITZ,USD 378,We're All a Little Mad Here
ANYA SWIFT,USD 126,cards on the table
